filename,valence,arousal,category
DST_089_M_NUT.jpg,-5.9282684326171875,3.3886446952819824,5
DST_170_F_SUR.jpg,-7.9107866287231445,4.367005825042725,5
DST_183_F_FER.jpg,-7.271313190460205,3.7775979042053223,5
DST_124_F_SUR.jpg,-10.433551788330078,6.035223960876465,6
DST_026_M_NUT.jpg,-6.381707191467285,3.655494213104248,5
DST_020_M_DIS.jpg,-11.675280570983887,6.852960586547852,6
DST_110_M_SAD.jpg,-5.339351177215576,2.6680378913879395,5
DST_002_F_SUR.jpg,-9.070525169372559,5.480202674865723,6
DST_128_F_ANG.jpg,-9.229096412658691,5.26052188873291,5
DST_077_M_ANG.jpg,-6.0432329177856445,2.902153491973877,5
DST_138_F_DIS.jpg,-6.679783821105957,3.301091194152832,5
DST_031_M_HPY.jpg,-4.7952561378479,2.3392810821533203,5
DST_128_F_SAD.jpg,-10.155671119689941,5.821172714233398,6
DST_162_F_DIS.jpg,-7.9070963859558105,4.575626850128174,5
DST_024_F_SAD.jpg,-8.761702537536621,4.713100433349609,5
DST_129_F_HPY.jpg,-7.772028923034668,4.430227756500244,5
DST_106_M_HPY.jpg,-4.677422046661377,2.6401162147521973,5
DST_046_F_SAD.jpg,-7.9124040603637695,4.474913120269775,5
DST_086_M_ANG.jpg,-5.192086696624756,2.4703054428100586,5
DST_118_M_FER.jpg,-4.427006244659424,1.3603293895721436,5
DST_123_F_ANG.jpg,-8.915609359741211,4.718993663787842,5
DST_174_F_SAD.jpg,-8.117706298828125,4.086679935455322,5
DST_182_F_SAD.jpg,-7.773804187774658,4.411771297454834,5
DST_018_M_SUR.jpg,-11.456679344177246,6.78580904006958,6
DST_022_M_DIS.jpg,-11.652016639709473,6.541611194610596,6
DST_129_F_ANG.jpg,-8.152974128723145,4.698233127593994,5
DST_032_F_HPY.jpg,-9.507075309753418,5.659119606018066,6
DST_010_M_SUR.jpg,-9.366589546203613,5.78568172454834,6
DST_110_M_HPY.jpg,-5.1823883056640625,2.5733237266540527,5
DST_029_F_FER.jpg,-7.492793560028076,4.016862869262695,5
DST_103_M_SAD.jpg,-7.908100128173828,4.701391696929932,5
DST_086_M_SAD.jpg,-5.508565425872803,2.6861557960510254,5
DST_064_M_HPY.jpg,-4.797418117523193,2.413637161254883,5
DST_159_F_ANG.jpg,-6.635138511657715,3.5747952461242676,5
